Kategorie,Produkt,Preis
Kaffee,Latte Macchiato,1.50
Kaffee,Cappuccino,1.20
Kaffee,Espresso,0.70
Kaffee,Espresso Doppio,1.40
Kaffee,Flat White,0.80
Heißgetränke,Heiße Schokolade,1.50
Heißgetränke,Warme Milch,1.00
Heißgetränke,Tee,0.50
Heißgetränke,Früchte,0.00
Heißgetränke,Minze,0.00
Heißgetränke,Schwarz (mit Milch),0.00
Kaltgetränke,Saftschorle,1.00
Kaltgetränke,Apfel,0.00
Kaltgetränke,Johannisbeere,0.00
Kaltgetränke,Saft,0.70
Kaltgetränke,Apfel,0.00
Kaltgetränke,Multi Frucht,0.00
Kaltgetränke,Eistee,0.50
Essen,Müsli,1.50
Essen,Crunchy,0.00
Essen,Schoko,0.00
Essen,Mangostreifen,1.20
Essen,Prezels,1.20
Essen,Schokokekse (Dinkel-Hanf),1.00
Essen, Crossita (fake Hannuta),1.50
Specials,Schokoriegel,1.20
Specials,Salzbrezeln,1.50
Specials,Froobie-Eis (Saisonal),1.50
Specials,Haferflocken Kekse,1.00
